"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","Component: ProfitCell, Story: Default (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:03 GMT 2025","passed","Mon May 19 15:58:03 GMT 2025","","","",""
"","122","Component: ProfitCell, Story: Second (variant: CI)","test/golden_test.dart","Mon May 19 15:58:03 GMT 2025","passed","Mon May 19 15:58:03 GMT 2025","","","",""
"","294","Component: FrostBenefit, Story: Default (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:02 GMT 2025","failed","Mon May 19 15:58:02 GMT 2025","","","",""
"","137","Component: RatingReceivedCard, Story: Default (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:01 GMT 2025","passed","Mon May 19 15:58:01 GMT 2025","","","",""
"","3","always passed","test/groups_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","","composite group of groups and tests","",""
"","148","Component: FrostBenefit, Story: Default (variant: CI)","test/golden_test.dart","Mon May 19 15:58:02 GMT 2025","failed","Mon May 19 15:58:02 GMT 2025","","","",""
"","184","Component: RatingBenefit, Story: Default (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:02 GMT 2025","failed","Mon May 19 15:58:02 GMT 2025","","","",""
"","39","Feature A - Story A","test/feature_test.dart","Mon May 19 15:57:58 GMT 2025","passed","Mon May 19 15:57:58 GMT 2025","","","",""
"","32","Known: int.parse successfully parses ""2""","test/simple_test.dart","Mon May 19 15:57:59 GMT 2025","failed","Mon May 19 15:57:59 GMT 2025","","","",""
"","589","Component: FrostReceivedCard, Story: Default (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:00 GMT 2025","passed","Mon May 19 15:58:01 GMT 2025","","","",""
"","4","Muted: int.parse successfully parses ""1""","test/simple_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","","","",""
"","157","Hello world","test/golden_test.dart","Mon May 19 15:58:00 GMT 2025","passed","Mon May 19 15:58:00 GMT 2025","","","",""
"","3","always passed","test/groups_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","sublevel of two level group, another sublevel","three level group","",""
"This test has multiple links","6","links test","test/meta_test.dart","Mon May 19 15:57:58 GMT 2025","passed","Mon May 19 15:57:58 GMT 2025","","","",""
"","5","Feature B - Story A","test/feature_test.dart","Mon May 19 15:57:58 GMT 2025","passed","Mon May 19 15:57:58 GMT 2025","","","",""
"","31","int.parse successfully parses ""1""","test/simple_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","","","",""
"This test has Severity: Severity.trivial","5","severity test","test/meta_test.dart","Mon May 19 15:57:58 GMT 2025","passed","Mon May 19 15:57:58 GMT 2025","","","",""
"","150","Component: FrostReceivedCard, Story: Default (variant: CI)","test/golden_test.dart","Mon May 19 15:58:01 GMT 2025","passed","Mon May 19 15:58:01 GMT 2025","","","",""
"","4","always passed","test/groups_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","sublevel of two level group, another sublevel","composite group of groups and tests","",""
"","6","Muted: int.parse fails","test/simple_test.dart","Mon May 19 15:57:59 GMT 2025","failed","Mon May 19 15:57:59 GMT 2025","","","",""
"","106","Component: ProfitCell, Story: Default (variant: CI)","test/golden_test.dart","Mon May 19 15:58:03 GMT 2025","passed","Mon May 19 15:58:03 GMT 2025","","","",""
"","21","always passed","test/groups_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","","single level group","",""
"","142","Component: DiagramCard, Story: Default (variant: CI)","test/golden_test.dart","Mon May 19 15:58:02 GMT 2025","failed","Mon May 19 15:58:02 GMT 2025","","","",""
"","4","always passed","test/groups_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","sublevel of two level group","two level group","",""
"","3","always passed","test/groups_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","sublevel of two level group","composite group of groups and tests","",""
"","104","Component: ProfitCell, Story: Second (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:03 GMT 2025","passed","Mon May 19 15:58:03 GMT 2025","","","",""
"","7","Flaky: int.parse successfully parses ""1""","test/simple_test.dart","Mon May 19 15:57:59 GMT 2025","failed","Mon May 19 15:57:59 GMT 2025","","","",""
"","190","Component: DiagramCard, Story: Default (variant: Linux)","test/golden_test.dart","Mon May 19 15:58:01 GMT 2025","failed","Mon May 19 15:58:02 GMT 2025","","","",""
"","4","Flaky and muted: int.parse successfully parses ""1""","test/simple_test.dart","Mon May 19 15:57:59 GMT 2025","passed","Mon May 19 15:57:59 GMT 2025","","","",""
"","135","Component: RatingReceivedCard, Story: Default (variant: CI)","test/golden_test.dart","Mon May 19 15:58:01 GMT 2025","passed","Mon May 19 15:58:01 GMT 2025","","","",""
"","4","Feature B - Story B","test/feature_test.dart","Mon May 19 15:57:58 GMT 2025","passed","Mon May 19 15:57:58 GMT 2025","","","",""
