"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 15:55:58 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","117","","","","","","Component: FrostBenefit, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:55:58 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","115","","","","","","Component: ProfitCell, Story: Second (variant: Linux)",""
"passed","Sun Jun 09 15:55:56 GMT 2024","Sun Jun 09 15:55:56 GMT 2024","150","","","","","","Hello world",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","133","","","","","","Component: ProfitCell, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:55:56 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","504","","","","","","Component: RatingReceivedCard, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","108","","","","","","Component: DiagramCard, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:55:58 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","107","","","","","","Component: RatingBenefit, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","113","","","","","","Component: FrostReceivedCard, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:55:58 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","123","","","","","","Component: ProfitCell, Story: Second (variant: CI)",""
"passed","Sun Jun 09 15:55:58 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","102","","","","","","Component: FrostBenefit, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","113","","","","","","Component: ProfitCell, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","140","","","","","","Component: RatingReceivedCard, Story: Default (variant: CI)",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","139","","","","","","Component: FrostReceivedCard, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:55:57 GMT 2024","Sun Jun 09 15:55:57 GMT 2024","131","","","","","","Component: DiagramCard, Story: Default (variant: Linux)",""
"passed","Sun Jun 09 15:55:49 GMT 2024","Sun Jun 09 15:55:56 GMT 2024","7057","","","","","","loading /home/runner/work/dart_test_reporter/dart_test_reporter/apps/sandbox/test/golden_test.dart",""
"passed","Sun Jun 09 15:55:58 GMT 2024","Sun Jun 09 15:55:58 GMT 2024","119","","","","","","Component: RatingBenefit, Story: Default (variant: Linux)",""
